id,familia,hueco,acierto,respuesta_correcta,cita,cifra,trayectoria,estado_trayectoria,alucinacion_sobre_hueco,herramientas,llamadas,latencia_s,coste_usd,tokens,guardarrail,fuente,cifra_dada,respuesta,motivo_cita,motivo_cifra,motivo_trayectoria,error
ho-001,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,search_filings,1,33.49,0.010701,9488,0,texto,,"NVIDIA indica en su informe 10-K del ejercicio fiscal 2024 (Item 1A) que no dispone de un suministro garantizado de obleas, componentes ni capacidad («We are not provided guaranteed wafer, component and capacity supply»), advirtiendo además que las entregas y la producción pueden no ser lineales a lo largo de un trimestre o año, lo que puede provocar desajustes entre la oferta y la demanda.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
ho-002,extractiva,False,False,False,fallo,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,20.9,0.010557,11672,0,texto,,"Según el apartado de riesgo de mercado (Item 7A) del informe 10-K de Alphabet para el ejercicio 2025, sus principales exposiciones a divisas son el dólar australiano, la libra esterlina, el dólar canadiense, el euro y el yen japonés frente al dólar estadounidense.",sin_chunk_id: la respuesta cita texto sin decir de qué fragmento,la pregunta no pide ninguna cifra,pasó por search_filings,
ho-003,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings > get_xbrl_fact > get_xbrl_fact,4,24.28,0.02765325,26167,0,texto,,"En el ejercicio fiscal 2025, las ventas netas de Apple en la Gran China disminuyeron (un 4 %, situándose en 64.377 millones de dólares frente a los 66.952 millones de 2024). Según explica la dirección de la compañía, este descenso se debió principalmente a menores ventas netas de iPhone, lo cual fue compensado parcialmente por mayores ventas netas de Mac.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
ho-004,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,get_xbrl_fact,1,38.95,0.006204,6128,0,xbrl,512163000000.0,El activo total de Microsoft al cierre del ejercicio fiscal 2024 (al 30 de junio de 2024) era de 512.163.000.000 USD.,ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
ho-005,numerica,True,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,29.35,0.009477,9748,0,ninguna,,"Amazon no reporta el beneficio bruto ('GrossProfit') en sus estados financieros bajo US-GAAP para el ejercicio fiscal 2025, por lo que el dato no existe en el corpus y no debe deducirse ni estimarse.",ni la pregunta trae ancla ni la respuesta cita,declaró que el dato no está en el corpus,pasó por get_xbrl_fact,
ho-006,numerica,True,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,12.08,0.01112625,10443,0,ninguna,,"El revenue de NVIDIA para el ejercicio fiscal 2023 no está disponible en el corpus, ya que este únicamente contiene información para los ejercicios fiscales 2024 y 2025.",ni la pregunta trae ancla ni la respuesta cita,declaró que el dato no está en el corpus,pasó por list_available,
ho-007,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,32.88,0.016929,16872,0,ambas,416161000000.0,"Los ingresos totales de Apple aumentaron de 391.035.000.000 USD en el ejercicio fiscal 2024 a 416.161.000.000 USD en el ejercicio fiscal 2025, lo que representa un crecimiento de 25.126.000.000 USD (aproximadamente un 6,43%). En cuanto a la evolución del iPhone, las ventas netas crecieron debido a mayores ventas de los modelos Pro.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
ho-008,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings > search_filings > search_filings,6,58.42,0.04589175,52785,1,ambas,61087000000.0,"El gasto en I+D de Alphabet en el ejercicio 2025 fue de 61.087.000.000 USD frente a 49.326.000.000 USD en 2024, lo que representa un aumento de 11.761.000.000 USD (un incremento del 23,84%). Asimismo, la compañía advierte de que las fluctuaciones en los gastos de compensación de empleados pueden no correlacionarse directamente con los cambios en la plantilla debido a factores como las concesiones anuales de compensación basada en acciones (SBC) que se consolidan a lo largo del tiempo.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
ho-009,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,get_xbrl_fact > get_xbrl_fact > search_filings,3,64.53,0.013188,12584,0,ambas,97858000000.0,"El beneficio bruto (Gross Profit) de NVIDIA aumentó un 120,89 % entre ambos ejercicios, pasando de 44.301.000.000 USD en el ejercicio fiscal 2024 a 97.858.000.000 USD en el ejercicio fiscal 2025 (un incremento de 53.557.000.000 USD). En cuanto al margen bruto, NVIDIA reportó un 72,7 % en FY2024 y un 75,0 % en FY2025, lo que representa un aumento de 2,3 puntos porcentuales, impulsado principalmente por una mayor proporción de ingresos provenientes de Data Center.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
ho-010,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,43.52,0.0179145,17090,0,ambas,128528000000.0,"El beneficio operativo de Microsoft aumentó de 109.433.000.000 USD en el ejercicio fiscal 2024 a 128.528.000.000 USD en el ejercicio fiscal 2025, lo que supone un crecimiento del 17% (19.095 millones de dólares más). La dirección destaca que el beneficio operativo creció en todos sus segmentos: Productivity and Business Processes aumentó un 17% (impulsado por Microsoft 365 Commercial cloud), Intelligent Cloud creció un 18% (impulsado por la demanda de Azure, aunque mitigado por el escalado de infraestructura de IA) y More Personal Computing subió un 18% (apoyado en Gaming tras la adquisición de Activision Blizzard y publicidad en búsquedas).","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
