id,familia,hueco,acierto,respuesta_correcta,cita,cifra,trayectoria,estado_trayectoria,alucinacion_sobre_hueco,herramientas,llamadas,latencia_s,coste_usd,tokens,guardarrail,fuente,cifra_dada,respuesta,motivo_cita,motivo_cifra,motivo_trayectoria,error
g-r-001,numerica,True,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,13.94,0.01051575,10129,0,ninguna,,"El pasivo total de Amazon para el ejercicio fiscal 2025 no está disponible en el corpus, dado que la compañía no reporta ni etiqueta la magnitud 'Liabilities' bajo la taxonomía US-GAAP en sus estados financieros XBRL.",ni la pregunta trae ancla ni la respuesta cita,declaró que el dato no está en el corpus,pasó por get_xbrl_fact,
g-r-002,numerica,True,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact,2,16.27,0.00973125,9867,0,ninguna,,"El beneficio bruto de Meta para el ejercicio fiscal 2025 no está disponible en el corpus, ya que la compañía no reporta ni etiqueta este concepto (GrossProfit) bajo US-GAAP en sus estados financieros.",ni la pregunta trae ancla ni la respuesta cita,declaró que el dato no está en el corpus,pasó por get_xbrl_fact,
g-r-003,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,get_xbrl_fact,1,6.95,0.00613125,6107,0,xbrl,29760000000.0,"El beneficio neto de NVIDIA en el ejercicio fiscal 2024, cerrado el 28 de enero de 2024, fue de 29.760.000.000 USD.",ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
g-r-004,numerica,False,True,True,no_aplica,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact,3,8.85,0.01194975,13481,0,xbrl,130497000000.0,Los ingresos de NVIDIA en su ejercicio fiscal 2025 fueron de 130.497.000.000 USD.,ni la pregunta trae ancla ni la respuesta cita,"coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)",pasó por get_xbrl_fact,
g-r-005,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,49.76,0.02648625,25879,1,ambas,139514000000.0,"El flujo de caja de las actividades de explotación de Amazon alcanzó los 139.514.000.000 USD en 2025, frente a los 115.877.000.000 USD registrados en 2024, lo que representa un aumento de 23.637.000.000 USD (aproximadamente un 20,4%). La compañía atribuye este incremento a un aumento en los ingresos netos (excluyendo gastos no monetarios) y a cambios en el capital circulante (working capital).","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
g-r-006,comparativa,False,True,True,acierto,acierto,acierto,camino_correcto,False,list_available > get_xbrl_fact > get_xbrl_fact > search_filings,4,42.07,0.03102,27268,1,ambas,34550000000.0,"El gasto en I+D de Apple ascendió a 34.550.000.000 USD en el ejercicio fiscal 2025 frente a 31.370.000.000 USD en el ejercicio fiscal 2024, lo que representa un crecimiento de 3.180.000.000 USD (un 10,14%). Según explica la dirección en el Item 7, este aumento estuvo impulsado principalmente por incrementos en los gastos relacionados con el personal y los costes asociados a infraestructuras.","cita literal, bien atribuida y junto al ancla","coincide con XBRL (0.500% relativo o 1 en valor absoluto, lo que sea mayor)","pasó por get_xbrl_fact, search_filings",
g-r-007,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,13.96,0.0095835,10098,0,texto,,"En el apartado de riesgo de mercado (Item 7A) de su informe 10-K para el ejercicio fiscal 2025, Microsoft declara estar expuesta a cuatro riesgos económicos principales: tipos de cambio de divisas (foreign exchange rates), tipos de interés (interest rates), riesgo de crédito (credit risk) y precios de renta variable o acciones (equity prices).","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
g-r-008,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,19.82,0.01299525,12535,0,texto,,"En sus factores de riesgo del ejercicio fiscal 2025 (Item 1A), Apple advierte que cuando un componente o producto utiliza tecnologías nuevas, pueden existir limitaciones o restricciones iniciales de capacidad hasta que los rendimientos de producción de los proveedores maduren o aumenten sus capacidades de fabricación.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
g-r-009,extractiva,False,False,False,fallo,no_aplica,acierto,camino_correcto,False,search_filings > list_available > search_filings > search_filings,4,33.31,0.03239625,36671,0,texto,,"En su informe 10-K para el ejercicio fiscal 2024, NVIDIA declara que depende de fundiciones externas (foundries) para la fabricación de sus obleas de semiconductores mediante los equipos y técnicas de estas terceras partes. Además, señala explícitamente que no ensambla, prueba ni empaqueta sus productos por sí misma, sino que contrata a subcontratistas independientes, los cuales también asisten en la obtención de componentes para sus sistemas, placas y productos.",sin_chunk_id: la respuesta cita texto sin decir de qué fragmento; no_respalda_ancla: la cita no está a menos de 600 caracteres del ancla,la pregunta no pide ninguna cifra,pasó por search_filings,
g-r-010,extractiva,False,True,True,acierto,no_aplica,acierto,camino_correcto,False,list_available > search_filings,2,16.48,0.0139545,12610,0,texto,,"Según los factores de riesgo de Amazon en su 10-K del ejercicio 2025, algunos de sus competidores actuales y potenciales pueden contar con mayores recursos, historiales más largos, más clientes y/o un mayor reconocimiento de marca, en particular respecto a productos y servicios recién lanzados y en regiones geográficas nuevas. Asimismo, pueden obtener mejores condiciones de los proveedores, adoptar estrategias de precios más agresivas y destinar más recursos a tecnología, infraestructura, logística y marketing.","cita literal, bien atribuida y junto al ancla",la pregunta no pide ninguna cifra,pasó por search_filings,
